Rep	Prob	FixTime	Age	Height	rLambda
121	0.0	na	10.358182	11.0	0.095714286
122	0.0	na	13.987288	11.8	0.15785715
123	0.0	na	6.3227906	10.75	0.13000001
124	0.0	na	2.9018867	10.6	NaN
125	0.0	na	23.193945	12.22	0.17485714
126	0.0	na	17.211765	11.9	0.13380952
127	0.0	na	21.245283	12.19	0.18342857
128	0.0	na	28.09091	12.21	0.20043959
129	0.0	na	24.173061	12.25	0.20047618
130	0.0	na	23.812908	12.24	0.19238096
131	0.0	na	23.509167	12.0	0.21628574
132	0.0	na	10.220142	11.22	0.122857146
133	0.0	na	21.737652	12.35	0.19942857
134	0.0	na	19.300251	11.99	0.17964286
135	0.0	na	7.8537693	11.01	0.10714286
136	0.0	2172.0	318.0	0.1	0.18586174
137	0.0	na	5.5371428	10.5	NaN
138	0.0	1964.0	392.0	0.03	0.17863774
139	0.0	na	26.575487	12.32	0.20746033
140	0.0	na	24.942675	12.56	0.19612245
141	0.0	na	15.647159	11.79	0.20476191
142	0.0	na	3.8290353	10.47	NaN
143	0.0	na	25.536425	12.08	0.20571432
144	0.0	na	12.01882	11.69	0.165
145	0.0	na	26.77371	12.02	0.20089285
146	0.0	2449.0	506.0	0.01	0.18018363
147	0.0	na	27.968542	12.08	0.17987013
148	0.0	na	6.370265	10.56	0.13142857
149	0.0	na	16.730263	12.16	0.20809524
150	0.0	na	18.59851	12.08	0.17071429
151	0.0	na	3.7924883	10.65	NaN
152	0.0	na	25.83797	12.22	0.20428571
153	0.0	na	22.646864	12.12	0.194
154	0.0	na	27.600641	12.47	0.19376622
155	0.0	na	17.96103	12.06	0.18904762
156	0.0	na	27.35623	12.52	0.20593406
157	0.0	na	29.85493	12.27	0.20743844
158	0.0	na	28.369028	12.14	0.18971428
159	0.0	na	23.797066	12.27	0.17224489
160	0.0	na	24.989353	12.21	0.20204082
161	0.0	na	29.142973	12.24	0.19725275
162	0.0	na	17.545156	12.18	0.17952381
163	0.0	na	27.746122	12.25	0.19530614
164	0.0	na	20.490034	12.04	0.19892856
165	0.0	na	3.8520653	10.41	NaN
166	0.0	na	26.612665	12.16	0.19392858
167	0.0	na	27.823578	11.96	0.22114284
168	0.0	na	25.4514	12.14	0.20178573
169	0.0	na	27.794577	12.17	0.22014287
170	0.0	na	480.5	0.02	0.17608418
171	0.0	na	27.713247	12.38	0.19885716
172	0.0	na	20.916529	12.1	0.16892858
173	0.0	na	493.0	0.01	0.1768601
174	0.0	na	7.2351303	10.76	0.108571425
175	0.0	na	30.122835	12.13	0.20230415
176	0.0	2256.0	330.72726	0.11	0.19182788
177	0.0	na	25.647156	12.13	0.1825
178	0.0	2016.0	417.6875	0.16	0.18768847
179	0.0	na	21.761747	12.13	0.20685713
180	0.0	3304.0	404.66666	0.03	0.18071134
181	0.0	na	22.05985	12.03	0.21542859
182	0.0	na	18.552454	11.82	0.18619049
183	0.0	na	28.553104	12.24	0.18688312
184	0.0	na	10.191855	11.05	0.095714286
185	0.0	na	29.77479	11.9	0.1922449
186	0.0	na	25.413183	12.44	0.18460317
187	0.0	na	13.891823	11.74	0.18857142
188	0.0	na	2.9203374	10.67	NaN
189	0.0	2301.0	1051.0	0.01	0.15064019
190	0.0	na	13.238999	11.59	0.13928571
191	0.0	na	29.908789	12.06	0.20161907
192	0.0	na	23.814877	12.1	0.20119047
193	0.0	na	697.0	0.01	0.17752145
194	0.0	na	27.060755	12.18	0.18514286
195	0.0	na	483.5	0.02	0.19119923
196	0.0	na	583.0	0.01	0.17258714
197	0.0	na	17.4494	11.66	0.16761903
198	0.0	2040.0	390.84616	0.13	0.19234659
199	0.0	na	16.44168	11.66	0.1652381
200	0.0	na	21.512905	12.01	0.19257143
1	0.1	na	3.8280075	10.64	NaN
2	0.1	na	4.701323	10.58	NaN
3	0.1	1952.0	541.0	0.01	0.16896053
4	0.1	na	9.385715	11.2	0.07714286
5	0.1	na	7.091582	10.81	0.14142857
6	0.1	na	3.8241966	10.58	NaN
7	0.1	na	2.9369628	10.47	NaN
8	0.1	na	21.578905	12.42	0.18971428
9	0.1	na	28.087418	12.24	0.19298701
10	0.1	na	11.558099	11.36	0.15357143
11	0.1	na	28.039507	12.15	0.20406593
12	0.1	na	23.173561	12.33	0.18071426
13	0.1	na	6.455426	10.32	0.17285715
14	0.1	na	10.116279	11.18	0.105714284
15	0.1	na	21.880816	12.25	0.17857143
16	0.1	na	22.76683	12.18	0.20619047
17	0.1	na	28.339243	12.41	0.20142858
18	0.1	na	15.663025	11.9	0.20333333
19	0.1	na	17.993305	11.95	0.17761904
20	0.1	na	29.528925	12.1	0.20552795
21	0.1	na	29.379032	12.4	0.1931579
22	0.1	na	29.688742	12.08	0.1907619
23	0.1	na	16.79031	11.97	0.19714285
24	0.1	1645.0	452.33334	0.06	0.1650941
25	0.1	na	23.827728	12.19	0.18785715
26	0.1	na	23.487137	12.05	0.20657142
27	0.1	na	9.5046215	10.82	0.15714286
28	0.1	na	24.474209	12.02	0.19833334
29	0.1	na	21.979797	11.88	0.2
30	0.1	1693.0	325.125	0.16	0.18522428
31	0.1	na	20.584717	12.04	0.20678572
32	0.1	na	23.28433	12.38	0.15190476
33	0.1	na	18.3958	12.38	0.20285714
34	0.1	na	21.75102	12.25	0.17085716
35	0.1	na	21.50376	11.97	0.18464285
36	0.1	na	26.619661	12.41	0.18857142
37	0.1	na	29.679466	11.98	0.20262672
38	0.1	na	22.04832	12.21	0.19142857
39	0.1	na	17.45915	12.24	0.18238096
40	0.1	na	25.48695	12.26	0.18020408
41	0.1	na	26.584352	12.27	0.19232142
42	0.1	na	11.475308	11.34	0.16214286
43	0.1	na	10.240367	10.9	0.10714286
44	0.1	1482.0	408.66666	0.09	0.17549083
45	0.1	na	29.291563	11.97	0.19714285
46	0.1	na	19.318958	12.29	0.20249999
47	0.1	na	17.272274	12.01	0.18761905
48	0.1	na	22.411016	11.8	0.21857142
49	0.1	na	29.929054	11.84	0.19973214
50	0.1	na	28.598381	12.35	0.21583332
51	0.1	na	23.546274	12.21	0.20738095
52	0.1	1619.0	302.7647	0.17	0.19145949
53	0.1	na	26.459126	12.11	0.1879365
54	0.1	na	27.17807	12.13	0.20441556
55	0.1	na	19.423323	12.52	0.19785714
56	0.1	1626.0	401.0	0.08	0.17785099
57	0.1	na	16.198019	12.12	0.18428572
58	0.1	na	25.842546	11.94	0.22079365
59	0.1	1746.0	739.0	0.03	0.1699368
60	0.1	na	2.9098513	10.76	NaN
61	0.1	na	7.289296	10.37	0.12714286
62	0.1	na	25.629086	12.24	0.19714285
63	0.1	na	22.195688	12.06	0.19114287
64	0.1	na	25.060905	12.15	0.20938776
65	0.1	na	21.194603	12.23	0.1922857
66	0.1	na	26.668638	11.83	0.18357144
67	0.1	1460.0	477.0	0.03	0.1713736
68	0.1	na	28.445068	12.47	0.17584416
69	0.1	na	26.232899	12.28	0.20174605
70	0.1	na	26.592138	12.21	0.19285716
71	0.1	na	27.347073	12.13	0.19171427
72	0.1	na	26.893143	12.54	0.21114287
73	0.1	na	10.892599	11.08	0.089999996
74	0.1	na	28.003204	12.48	0.19209523
75	0.1	na	24.230133	12.08	0.20261906
76	0.1	na	27.957214	11.92	0.19845237
77	0.1	na	22.4796	12.01	0.18800001
78	0.1	1524.0	415.42856	0.07	0.17938115
79	0.1	na	13.971723	11.67	0.16142857
80	0.1	na	26.33551	12.25	0.205
81	0.1	na	28.731909	12.16	0.19464286
82	0.1	na	22.210924	11.9	0.19428572
83	0.1	na	25.553705	12.01	0.18571427
84	0.1	na	6.3687615	10.82	0.13000001
85	0.1	na	24.328419	12.21	0.20190476
86	0.1	1234.0	414.89474	0.19	0.18584423
87	0.1	na	17.035217	12.21	0.1957143
88	0.1	na	19.953781	11.9	0.16214286
89	0.1	1466.0	230.56757	0.37	0.19105268
90	0.1	na	27.255178	12.07	0.19
91	0.1	na	29.683193	11.9	0.20723216
92	0.1	na	3.8304925	10.56	NaN
93	0.1	na	25.320356	12.33	0.19387756
94	0.1	na	4.6805687	10.55	NaN
95	0.1	1622.0	316.66666	0.03	0.17184906
96	0.1	na	27.549505	12.12	0.18619046
97	0.1	na	27.117743	12.23	0.2092857
98	0.1	na	22.054365	12.14	0.18742856
99	0.1	na	6.4288425	10.54	0.11571429
100	0.1	na	29.32543	12.23	0.20123376
101	0.1	na	12.5826235	11.74	0.19857143
102	0.1	na	26.481085	12.16	0.20814288
103	0.1	2198.0	512.0	0.01	0.15983611
104	0.1	na	27.814457	12.45	0.2025
105	0.1	na	16.049587	12.1	0.21714287
106	0.1	na	20.12171	12.16	0.16142857
107	0.1	na	29.525883	12.17	0.20561905
108	0.1	na	28.894136	12.28	0.22193278
109	0.1	na	26.90692	12.14	0.20157143
110	0.1	na	3.7958016	10.48	NaN
111	0.1	na	28.914806	12.09	0.20285712
112	0.1	na	27.135382	12.04	0.21814287
113	0.1	na	27.864046	12.21	0.20942858
114	0.1	1669.0	328.45	0.2	0.19260508
115	0.1	na	26.690475	12.18	0.21214285
116	0.1	na	22.993565	12.43	0.1942857
117	0.1	na	25.534224	11.98	0.1965306
118	0.1	na	19.525187	12.11	0.14821428
119	0.1	na	12.25815	11.35	0.17785715
120	0.1	na	6.4181647	10.57	0.07571428
121	0.1	1474.0	265.4762	0.42	0.19527209
122	0.1	na	25.896467	12.17	0.19857144
123	0.1	na	26.783583	12.06	0.17678572
124	0.1	na	17.76585	11.83	0.15238096
125	0.1	na	13.803333	12.0	0.13
126	0.1	na	27.065853	12.3	0.21157143
127	0.1	na	16.979166	12.0	0.14428572
128	0.1	na	8.054614	10.62	0.13714285
129	0.1	na	27.8397	12.04	0.19642857
130	0.1	na	19.82719	12.21	0.17857143
131	0.1	na	27.615572	12.33	0.1902381
132	0.1	na	25.92804	12.09	0.19910716
133	0.1	na	26.180275	12.37	0.19125
134	0.1	1518.0	374.8	0.15	0.18845952
135	0.1	na	17.50669	11.96	0.16238095
136	0.1	na	18.216837	11.76	0.18523808
137	0.1	na	24.853777	12.31	0.2245238
138	0.1	na	26.877165	12.13	0.18160716
139	0.1	na	29.674816	12.27	0.19571428
140	0.1	1709.0	374.2	0.05	0.18021652
141	0.1	na	30.082787	12.2	0.19581284
142	0.1	na	3.8325539	10.69	NaN
143	0.1	na	15.391735	12.1	0.17190476
144	0.1	na	13.937714	11.72	0.16071428
145	0.1	na	7.1780696	10.67	0.13857143
146	0.1	na	28.444626	12.28	0.20329672
147	0.1	1729.0	538.6667	0.03	0.17568536
148	0.1	na	16.098055	11.83	0.17333333
149	0.1	1620.0	466.2857	0.07	0.1777984
150	0.1	na	18.945528	12.3	0.16857143
151	0.1	na	13.38601	11.58	0.13714285
152	0.1	na	24.913437	12.13	0.16928571
153	0.1	na	27.577488	12.26	0.20376626
154	0.1	na	27.394413	12.17	0.215
155	0.1	na	22.445004	11.91	0.20542857
156	0.1	na	26.072699	12.38	0.20841269
157	0.1	na	23.698439	12.17	0.18657142
158	0.1	na	24.851639	12.2	0.1807143
159	0.1	na	28.268682	11.91	0.210989
160	0.1	na	21.630922	12.03	0.17057142
161	0.1	na	26.059156	12.34	0.21448979
162	0.1	na	2.933082	10.61	NaN
163	0.1	na	23.305555	12.24	0.2095238
164	0.1	na	19.966087	12.09	0.16785714
165	0.1	na	25.791254	12.12	0.17517857
166	0.1	na	26.168852	12.2	0.1944643
167	0.1	na	26.119898	11.76	0.19857143
168	0.1	na	21.589619	12.33	0.17857143
169	0.1	na	2.909354	10.37	NaN
170	0.1	na	20.106966	12.06	0.16035715
171	0.1	na	14.458262	11.74	0.15714286
172	0.1	na	27.41598	12.14	0.19464286
173	0.1	na	25.312033	12.05	0.19387756
174	0.1	na	22.714403	12.08	0.18857141
175	0.1	na	5.590513	10.33	NaN
176	0.1	na	20.759735	12.07	0.16178572
177	0.1	na	22.939297	12.52	0.19285715
178	0.1	na	6.4688997	10.45	0.14428571
179	0.1	na	28.099518	12.46	0.19238095
180	0.1	na	26.554077	12.02	0.18555555
181	0.1	na	26.317734	12.18	0.19222221
182	0.1	na	22.901255	11.95	0.18514284
183	0.1	na	19.365274	12.21	0.135
184	0.1	na	16.821724	12.06	0.15333332
185	0.1	na	6.379121	10.92	0.13142857
186	0.1	na	22.7751	12.45	0.20457144
187	0.1	na	27.085596	12.15	0.20952383
188	0.1	na	28.395851	12.05	0.17771429
189	0.1	na	23.112286	12.29	0.21214284
190	0.1	na	2.916117	10.61	NaN
191	0.1	na	364.5	0.02	0.17322662
192	0.1	na	27.988836	12.54	0.1927381
193	0.1	na	28.02564	12.09	0.18079366
194	0.1	na	27.61257	12.57	0.19399999
195	0.1	na	17.978085	12.32	0.18666667
196	0.1	na	9.404103	11.21	0.105714284
197	0.1	1725.0	306.0	0.01	0.16648662
198	0.1	na	27.892828	12.13	0.18250002
199	0.1	na	16.166254	12.09	0.1409524
200	0.1	na	28.931744	12.16	0.20361903
1	0.2	na	28.911764	11.9	0.17417581
2	0.2	na	2.9202967	10.79	NaN
3	0.2	na	27.171053	12.16	0.19714285
4	0.2	na	25.766266	12.45	0.19042857
5	0.2	na	12.1404295	11.18	0.16285715
6	0.2	na	2.92	10.75	NaN
7	0.2	na	26.508614	12.19	0.20238096
8	0.2	na	28.187704	12.2	0.20091835
9	0.2	na	7.964083	10.58	0.13000001
10	0.2	na	20.053745	12.28	0.19821429
11	0.2	na	26.4	12.15	0.19642857
12	0.2	na	14.507234	11.75	0.13071428
13	0.2	1787.0	230.01888	0.53	0.20151827
14	0.2	na	22.797716	12.26	0.20771427
15	0.2	na	24.066887	12.11	0.19166666
16	0.2	na	22.06383	12.22	0.20485716
17	0.2	na	28.393555	11.79	0.18703297
18	0.2	na	18.660252	11.95	0.17238097
19	0.2	na	19.00666	12.01	0.18464285
20	0.2	na	17.0	11.71	0.20238096
21	0.2	na	30.125616	12.18	0.20642856
22	0.2	na	20.040884	12.23	0.15142857
23	0.2	1856.0	261.33334	0.33	0.19448526
24	0.2	na	2.927481	10.48	NaN
25	0.2	na	12.97028	11.44	0.15571427
26	0.2	na	29.146461	12.29	0.20857143
27	0.2	na	29.246473	12.05	0.20077379
28	0.2	na	19.060034	12.16	0.15571429
29	0.2	na	13.403324	11.43	0.16999999
30	0.2	na	28.56781	12.24	0.19819048
31	0.2	na	13.174205	11.94	0.19285715
32	0.2	na	12.178911	11.57	0.135
33	0.2	na	5.566092	10.44	NaN
34	0.2	na	27.750618	12.15	0.20385714
35	0.2	na	26.295269	12.26	0.19979592
36	0.2	na	29.063114	12.2	0.1978022
37	0.2	na	23.89684	12.02	0.20071428
38	0.2	na	26.927439	11.99	0.20628569
39	0.2	na	25.273102	12.12	0.20632651
40	0.2	na	27.240335	11.9	0.20761904
41	0.2	na	7.119705	10.86	0.13285714
42	0.2	1920.0	139.99585	2.41	0.2062565
43	0.2	1385.0	142.43478	1.84	0.2066667
44	0.2	na	26.642056	12.46	0.19936508
45	0.2	na	27.587898	12.23	0.19957143
46	0.2	na	29.153591	12.11	0.17214285
47	0.2	na	21.312351	12.55	0.16542856
48	0.2	na	25.743631	12.17	0.18673469
49	0.2	na	13.392617	11.92	0.13785714
50	0.2	na	23.377312	11.9	0.19761907
51	0.2	na	10.327633	11.11	0.09428572
52	0.2	na	9.501828	10.94	0.16
53	0.2	na	3.8280375	10.7	NaN
54	0.2	na	24.681452	12.4	0.19755101
55	0.2	na	13.4380455	11.46	0.18642858
56	0.2	na	10.751958	11.49	0.09857143
57	0.2	na	26.910141	12.13	0.2046753
58	0.2	na	25.910141	12.13	0.2165306
59	0.2	na	19.820747	12.05	0.19464286
60	0.2	na	14.64661	11.8	0.16
61	0.2	na	6.3730083	10.67	0.16
62	0.2	na	6.4280267	10.49	0.15428571
63	0.2	na	22.17126	11.97	0.20714286
64	0.2	na	23.690338	12.11	0.18914287
65	0.2	na	22.022259	12.13	0.18
66	0.2	1971.0	261.84616	0.26	0.19955269
67	0.2	na	5.5536723	10.62	NaN
68	0.2	na	21.095968	12.4	0.16607143
69	0.2	na	22.38552	11.88	0.17999999
70	0.2	na	2.916117	10.61	NaN
71	0.2	na	7.205273	10.62	0.09428572
72	0.2	na	29.065128	12.13	0.20866072
73	0.2	na	18.076122	12.48	0.17
74	0.2	na	10.786667	11.25	0.14999999
75	0.2	na	22.165564	12.08	0.18885715
76	0.2	na	27.322977	12.23	0.20610389
77	0.2	na	27.901245	12.05	0.19663265
78	0.2	na	25.183075	12.29	0.20821428
79	0.2	na	22.946835	11.85	0.21457143
80	0.2	na	22.52742	12.4	0.19742857
81	0.2	na	17.25892	12.05	0.15619047
82	0.2	na	25.45286	12.41	0.20448981
83	0.2	na	22.198536	12.29	0.2277143
84	0.2	na	6.4058657	10.57	0.09285714
85	0.2	na	10.966425	11.02	0.12571429
86	0.2	na	29.277508	12.36	0.18042858
87	0.2	na	26.0043	11.63	0.22142856
88	0.2	na	27.156685	12.19	0.20584416
89	0.2	na	25.029285	11.61	0.16761905
90	0.2	na	3.8206573	10.65	NaN
91	0.2	na	15.122414	11.6	0.17642857
92	0.2	na	29.272728	11.99	0.18969388
93	0.2	na	9.318262	11.28	0.10428572
94	0.2	1819.0	146.97298	1.48	0.20557693
95	0.2	na	23.03138	12.11	0.19142856
96	0.2	na	28.14416	12.07	0.19233765
97	0.2	na	20.462551	12.15	0.16642858
98	0.2	na	30.047539	11.99	0.18278912
99	0.2	na	17.123873	12.19	0.1652381
