Tick	Model	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Layer9	Layer10	Layer11	Layer12	Layer13	Layer14	Layer15	Layer16	Layer17	Layer18	Layer19	Layer20
23	3D	1	0.826865463	0.698471618	0.590749556	0.500659599	0.424822718	0.361805858	0.309700436	0.266857986	0.231930756	0.203833997	0.18169013	0.164560616	0.151872067	0.142912309	0.136725031	0.132886681	0.129594268	0.127370496	0.126255084
24	3D	1	0.826526441	0.697790166	0.589950288	0.499705967	0.424374483	0.361616318	0.309591158	0.26678341	0.231932439	0.203976608	0.181790981	0.164652892	0.151893945	0.143503398	0.137394295	0.132808364	0.12936238	0.127066686	0.125920358
25	3D	1	0.826267219	0.697343361	0.589478511	0.499429152	0.424467883	0.361408397	0.309226791	0.266286254	0.23126729	0.203095331	0.18087294	0.16389703	0.151889372	0.142424405	0.137006427	0.132427476	0.129013529	0.126747515	0.125617196
26	3D	1	0.826868833	0.69764024	0.589622196	0.499401657	0.424060918	0.361346718	0.309384304	0.266621662	0.231718429	0.203510408	0.181067852	0.163871347	0.151249691	0.142480617	0.136887041	0.132316088	0.128869275	0.126572646	0.125425962
27	3D	1	0.827368459	0.699037532	0.590507484	0.499990466	0.424551272	0.361737652	0.309659801	0.266802869	0.231887703	0.203895959	0.181718022	0.164193836	0.151471851	0.143421712	0.137170115	0.132337636	0.128773195	0.126420422	0.125250349
28	3D	1	0.8262894	0.697465597	0.589751181	0.499739744	0.424405509	0.361646581	0.309498873	0.266516489	0.231434234	0.203181386	0.180892994	0.163990362	0.152031193	0.143204608	0.136732851	0.131997286	0.128529431	0.126235036	0.125091005
29	3D	1	0.827216394	0.701521224	0.590380469	0.50015071	0.425683113	0.364507991	0.3105871	0.26698167	0.231570077	0.203161265	0.180761532	0.163453914	0.150675633	0.141630131	0.136251872	0.131698025	0.12829196	0.126026141	0.124894639
30	3D	1	0.826285486	0.697487096	0.589864206	0.499840659	0.424487875	0.361886067	0.309460201	0.266393329	0.231294026	0.203161803	0.181641014	0.163634813	0.15096836	0.142858669	0.136706856	0.131909017	0.128364191	0.126022525	0.124857396
31	3D	1	0.826396816	0.697309241	0.589334649	0.499139316	0.423680915	0.360924009	0.309022769	0.266408363	0.2311092	0.202731225	0.18031213	0.163120247	0.150545207	0.142314011	0.13615097	0.131460442	0.128022544	0.125754946	0.1246264
32	3D	1	0.826192582	0.697229063	0.589318066	0.498877216	0.423435545	0.360705409	0.308779752	0.265961669	0.231036411	0.202914858	0.180599316	0.163611743	0.151625042	0.142001001	0.136238738	0.131472258	0.127958879	0.125641848	0.124489787
33	3D	1	0.831410401	0.698830047	0.589966753	0.499167773	0.423641458	0.36093578	0.308681555	0.265715765	0.230674809	0.202440559	0.180124445	0.163048237	0.15098406	0.141051932	0.135011765	0.131114069	0.127804705	0.125573417	0.124454372
34	3D	1	0.826609666	0.698003913	0.589971467	0.499083504	0.423357533	0.360460546	0.308402307	0.265585745	0.230605158	0.202454906	0.180113807	0.16304308	0.150635283	0.142371637	0.136243267	0.131524981	0.128037608	0.125732539	0.124584882
35	3D	1	0.826251728	0.697325378	0.589210789	0.498656761	0.423143142	0.360373415	0.30843312	0.265692284	0.230662339	0.202462923	0.180237221	0.163202731	0.150541156	0.142233671	0.136205193	0.131565138	0.128143748	0.125874325	0.124741037
36	3D	1	0.826181636	0.697158129	0.589033725	0.498599271	0.423137461	0.360385777	0.30841995	0.265585835	0.230607236	0.202407536	0.180103803	0.162960748	0.150036405	0.141157806	0.13579249	0.13134686	0.128032682	0.125824237	0.124719101
37	3D	1	0.826459016	0.697698512	0.58982498	0.499299645	0.423712045	0.360857286	0.308825471	0.265989467	0.231029432	0.20299522	0.181502194	0.163595871	0.151538618	0.142001852	0.136394883	0.131769695	0.128313105	0.126013512	0.124865354
38	3D	1	0.826270985	0.697406829	0.589584109	0.499377385	0.424052651	0.361341141	0.309363705	0.26670338	0.231545314	0.203292705	0.180991464	0.163719985	0.151061641	0.142199434	0.136763247	0.132075351	0.128560004	0.126222447	0.125055767
39	3D	1	0.826183998	0.697393939	0.590145678	0.502348353	0.424452668	0.361339225	0.309252953	0.266400146	0.231443664	0.203328353	0.181307346	0.165029673	0.151569905	0.142917202	0.136518447	0.131887041	0.128467268	0.126200702	0.125069774
40	3D	1	0.825952284	0.696829265	0.588828651	0.498576105	0.423230123	0.360559985	0.308679307	0.266035038	0.231361647	0.203581568	0.181158461	0.16399258	0.151284198	0.142394104	0.136933344	0.132247601	0.128728467	0.126385259	0.125215055
41	3D	1	0.826398283	0.69769996	0.590141467	0.499815432	0.424120784	0.361103004	0.30901805	0.266127481	0.231243412	0.203254545	0.181146051	0.164074581	0.151306469	0.142935255	0.136818693	0.132093434	0.128609079	0.12630732	0.125161659
42	3D	1	0.82626144	0.697400406	0.589580331	0.499300862	0.42405631	0.361103248	0.308933459	0.266030568	0.231079198	0.202955974	0.180737527	0.163688062	0.151148009	0.142584966	0.136997543	0.132244831	0.128702089	0.126353795	0.125183672
43	3D	1	0.826934361	0.698166451	0.589693418	0.4990363	0.423532657	0.360885028	0.309083693	0.26618445	0.231403078	0.204211834	0.181080797	0.164114837	0.151660908	0.143681144	0.137367421	0.132469133	0.128860042	0.126478523	0.125294021
44	3D	1	0.831112805	0.698636989	0.590914221	0.502310255	0.424180533	0.361029437	0.309020029	0.266437511	0.231903185	0.203388759	0.180879862	0.163624087	0.151119224	0.142491569	0.136834042	0.132144113	0.12866877	0.126366644	0.125219094
45	3D	1	0.826133687	0.69713323	0.589197254	0.499008466	0.423790087	0.361110374	0.309047476	0.266155613	0.231384694	0.204208975	0.180770005	0.163545667	0.150932802	0.141909763	0.136457464	0.131887382	0.128472524	0.126200596	0.125066063
46	3D	1	0.826201349	0.697156475	0.589159647	0.498911362	0.423586232	0.360893999	0.308850697	0.266008619	0.231064874	0.202926153	0.18067982	0.163752533	0.15174697	0.142744629	0.136435629	0.131659133	0.128173193	0.125881948	0.124744027
47	3D	1	0.826703567	0.697678206	0.589650613	0.499408035	0.424156822	0.361301586	0.309091369	0.266183474	0.231272792	0.203222113	0.180745273	0.16355297	0.150992084	0.142117415	0.135792514	0.131646666	0.128172183	0.125844682	0.124681798
48	3D	1	0.826483899	0.697575753	0.589745556	0.499789652	0.426310699	0.361531056	0.309199238	0.266323438	0.231365102	0.203352522	0.181964535	0.164650146	0.1511726	0.142735737	0.136638623	0.131846625	0.128279981	0.125915579	0.124737471
49	3D	1	0.826357525	0.697471219	0.589549291	0.499150181	0.423794893	0.361233936	0.309408549	0.266315267	0.231391512	0.204045582	0.18081952	0.163774382	0.151337005	0.143030163	0.135982424	0.131760389	0.128274313	0.125945473	0.124782222
50	3D	1	0.826918561	0.697668904	0.589459873	0.499112656	0.423884915	0.361499476	0.309292551	0.26630193	0.231345109	0.203354235	0.181112196	0.163951165	0.151978715	0.142555492	0.136794761	0.131963966	0.128383179	0.126016755	0.124839388
51	3D	1	0.826144346	0.6971759	0.589357417	0.499349898	0.424449276	0.361264747	0.309147903	0.266390093	0.231503241	0.203395277	0.181798339	0.163656087	0.151032447	0.142500152	0.13626667	0.131512906	0.128095969	0.125824944	0.124689117
52	3D	1	0.82626341	0.697324743	0.589204942	0.498811344	0.423325736	0.360542265	0.30859016	0.265947149	0.231441602	0.204082823	0.180840865	0.16354969	0.150939558	0.142849352	0.136474229	0.13161931	0.128075463	0.125747373	0.124591618
53	3D	1	0.826677665	0.698175324	0.590871211	0.500429002	0.424383146	0.361634913	0.310930938	0.266589447	0.231504258	0.203075706	0.180767166	0.163590085	0.15100484	0.142838411	0.136553838	0.13170541	0.128136861	0.125782121	0.124610772
54	3D	1	0.826807803	0.698474005	0.590521897	0.49982067	0.424136115	0.36134709	0.309489371	0.266654929	0.231727704	0.203441929	0.181861078	0.164113142	0.152052798	0.143223509	0.136719872	0.131765487	0.128141367	0.125759012	0.124576437
