1	0.0	na	NaN	11.7625	3.0610428E-4	473
2	0.0	na	NaN	11.195	1.2329104E-6	3
3	0.0	na	NaN	11.7275	2.3151313E-5	39
4	0.0	na	NaN	11.8125	3.0411786E-5	45
1	0.1	27419.0	NaN	0.01	0.004726029	27420
2	0.1	na	NaN	11.635	6.815254E-5	105
3	0.1	na	NaN	11.63	4.3768327E-5	69
4	0.1	15722.0	NaN	0.0125	0.0032270793	15723
1	0.2	6794.0	NaN	2.3025	0.0025204518	6795
2	0.2	na	NaN	11.8625	6.760459E-5	109
3	0.2	na	NaN	11.1325	3.4932464E-6	7
4	0.2	na	NaN	11.735	5.774131E-5	88
1	0.3	na	NaN	11.37	7.6029482E-6	16
2	0.3	na	NaN	11.8225	5.2809657E-5	79
3	0.3	na	NaN	11.8175	3.404202E-5	55
4	0.3	6624.0	NaN	4.67	0.002683944	6625
1	0.4	na	NaN	11.6425	1.938409E-5	30
2	0.4	na	NaN	11.6925	2.7219925E-4	422
3	0.4	na	NaN	11.755	1.395929E-4	217
4	0.4	na	NaN	11.7725	3.30146E-5	49
1	0.5	na	NaN	11.775	7.059778E-4	1073
2	0.5	na	NaN	11.7675	1.8849836E-4	284
3	0.5	na	NaN	11.655	5.772074E-4	897
4	0.5	na	NaN	11.7325	2.6678832E-4	411
1	0.6	na	NaN	11.7575	7.709109E-4	1195
2	0.6	na	NaN	11.6425	2.048001E-5	33
3	0.6	na	NaN	11.75	9.4454605E-5	153
4	0.6	na	NaN	11.735	3.1987172E-5	50
1	0.7	11355.0	NaN	10.805	0.0062475274	11356
2	0.7	na	NaN	11.9	6.013864E-5	88
3	0.7	na	NaN	11.755	1.0240009E-4	163
4	0.7	na	NaN	11.8425	1.04797444E-4	165
1	0.8	na	NaN	11.7875	4.970688E-4	758
2	0.8	na	NaN	11.695	0.0011942815	1828
3	0.8	na	NaN	11.855	9.390672E-5	146
4	0.8	na	NaN	11.695	2.0822486E-5	31
1	0.9	na	NaN	11.4125	1.1233186E-5	17
2	0.9	na	NaN	11.635	5.6022074E-4	852
3	0.9	na	NaN	11.7225	7.6029486E-5	117
4	0.9	na	NaN	11.675	2.19869E-5	32
1	1.0	na	NaN	11.36	1.541138E-5	26
2	1.0	na	NaN	11.72	4.0138086E-5	66
3	1.0	na	NaN	11.7525	8.609823E-5	131
4	1.0	na	NaN	11.8775	3.534343E-5	55
