18,4,209
4,3,463
99,9,0
98,3,0
53,0,209
89,8,0
82,12,0
28,2,209
24,8,209
72,1,209
56,3,209
71,6,209
12,9,463
19,0,463
62,3,209
74,8,0
5,7,463
91,5,0
19,9,209
23,3,209
29,12,209
92,2,0
6,2,463
88,4,0
0,3,0
92,3,0
33,5,209
25,9,209
77,5,488
63,0,209
64,12,209
14,12,0
92,6,0
50,11,209
30,0,209
52,8,209
66,4,209
8,4,463
48,3,209
41,5,209
90,5,0
46,3,209
21,2,209
6,10,0
35,5,209
62,5,209
88,3,0
99,11,0
40,0,209
14,10,463
58,10,209
29,5,209
69,1,209
40,9,209
94,9,0
47,5,209
9,5,463
65,8,209
31,7,209
18,3,463
10,1,463
17,0,463
17,8,463
49,9,209
26,6,209
2,9,0
78,13,0
21,10,209
24,4,209
89,4,0
37,1,209
31,9,209
2,7,0
6,9,0
98,2,0
17,3,209
69,9,209
13,0,489
31,0,209
19,7,209
67,1,209
4,9,0
16,2,463
20,10,209
57,4,209
38,10,209
88,10,0
96,6,0
89,2,0
13,5,463
42,0,209
44,8,209
95,3,0
60,11,209
17,12,209
87,3,0
91,9,0
59,12,209
95,8,0
88,0,0
89,5,0
96,5,0
28,7,209
30,7,209
64,7,209
44,2,209
43,6,209
72,11,209
23,1,209
4,2,463
30,10,209
84,0,0
25,2,209
87,9,0
37,5,209
76,5,0
75,12,0
49,7,209
18,1,209
32,0,209
54,8,209
60,12,209
0,13,463
1,9,0
81,9,0
62,2,209
6,1,463
38,1,209
82,1,0
44,11,209
70,13,209
13,7,463
33,6,209
56,0,209
18,2,463
62,7,209
3,8,0
27,7,209
73,9,0
89,7,0
59,1,209
88,7,0
85,5,0
44,10,209
11,7,463
88,6,0
18,0,463
31,10,209
24,6,209
38,8,209
33,9,209
29,7,209
1,0,0
17,7,463
83,4,0
33,7,209
15,10,463
5,1,463
55,12,209
65,10,209
21,11,209
42,8,209
5,12,0
23,10,209
63,9,209
33,2,209
25,1,209
65,9,209
64,4,209
94,7,0
51,8,209
8,9,463
72,6,209
84,4,0
30,8,209
27,5,209
23,4,209
71,0,209
41,6,209
4,6,0
16,11,463
58,3,209
55,5,209
67,3,209
30,5,209
1,5,0
32,3,209
7,1,463
68,12,209
73,0,0
29,9,209
44,4,209
81,11,0
91,11,0
30,11,209
52,9,209
55,2,209
58,11,209
8,2,463
66,0,209
21,9,209
88,9,0
8,6,463
81,2,0
12,5,463
28,12,209
83,6,0
12,0,463
75,11,0
37,6,209
28,8,209
63,5,209
81,6,0
61,7,209
48,9,209
76,11,0
10,9,463
66,10,209
39,5,209
48,10,209
2,6,0
69,8,0
23,13,209
85,9,0
72,2,0
52,4,209
35,6,209
75,5,488
75,2,0
35,2,209
29,10,209
6,7,0
95,9,0
33,13,209
62,9,209
78,6,0
79,5,0
36,8,209
49,0,209
60,3,209
16,7,463
19,1,209
77,12,0
16,3,463
17,10,209
0,10,0
81,4,0
8,5,463
56,5,209
23,7,209
45,3,209
29,0,209
44,1,209
96,1,0
35,4,209
88,2,0
16,1,463
9,4,463
40,10,209
51,4,209
53,3,209
98,4,0
84,6,0
92,5,0
96,9,0
78,5,0
46,2,209
8,0,463
27,8,209
24,9,209
8,11,463
